symbol,company,market_cap,industry,lodged,topic,clause,why_it_matters
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,venue-limited derivatives ban,"PDMRs are prohibited from dealing ... where the dealing involves transactions in put options, call options or other derivative securities, on an exchange or in any other organised market","A bilateral OTC collar with a bank is outside the express ban, so its treatment turns on the dealing definition and clearance, but the bank should not hedge or novate the position through listed options in the executive's name."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,substance over form,BHP will take a substance over form approach and will have regard to the intent and spirit of this policy when applying and enforcing it.,A Clearance Officer may treat an OTC collar as within the spirit of the exchange-traded derivatives ban or the hedging ban and refuse clearance on that basis.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,one-year maturity test,An investment with a maturity of one year or less is considered of a short-term nature,"Both the collar and the loan must have a tenor exceeding twelve months for a PDMR, and early termination or roll features may be scrutinised."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,hedging locked shares,Participants must not at any time enter into a transaction that operates or is intended to operate to limit participants' exposure to the risk of holding unvested BHP securities ... or vested BHP securities that are subject to holding locks or similar restrictions.,"Only vested shares free of holding locks or plan restrictions can be collared; the ban applies at any time, including outside Closed Periods, and is intent-based."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,secured financing is a dealing,"Dealing includes ... use as security, or otherwise granting a charge, lien or other encumbrance over securities ... entry into any margin lending or other secured financing arrangement.","The loan leg and the security interest over the collared shares each require clearance and are barred in Closed Periods, and for PDMRs are publicly disclosed via FCA and exchange notification."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,reputational test on clearance,"If the market was aware of all the current circumstances, could the proposed dealing be perceived as taking advantage of my position in an inappropriate way? ... clearance will not be granted where the dealing would not satisfy the considerations above.",Clearance for a director's collar is discretionary and may be refused on perception grounds even absent inside information.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,clearance window and withdrawal,"Upon receipt of written approval, the dealing must be completed within two business days. ... A clearance to deal can be withdrawn if new information comes to light or there is a change in circumstances.","The collar and loan must be priced and signed within two business days of clearance, and BHP can withdraw clearance before execution."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,PCA obligations,"PDMRs must ensure that their PCAs: must request clearance before dealing in BHP securities ... companies, trusts, partnerships or entities: which are managed by a PDMR or a family member; which are directly or indirectly controlled by a PDMR",A collar or loan entered through a family trust or controlled company needs the same clearance and disclosure as if entered by the PDMR.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,hardship relief is sale-only,"exceptional circumstances, such as severe financial difficulty or compulsion by court order, exist which require the immediate sale of shares","Closed Period relief covers an immediate sale, not entry into a hedge or financing, and the policy is silent on a lender's enforcement sale in a Closed Period."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,dealing on behalf of a third party,"Persons on insider lists, Restricted Persons, PDMRs and their PCAs must not deal (or deal on behalf of a third party) in BHP securities during any Closed Period.","Physical settlement, unwind or collateral top-up during a Closed Period would be a dealing; structures should cash-settle or avoid mandatory delivery dates in Closed Periods."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,forced sale,"Specified Persons and their Associates must not use Group Securities as security for margin lending or other secured financing arrangements, as a forced sale may lead to the breach of this Policy.","The loan leg of a funded collar secured on the collared shares is expressly prohibited for every Specified Person, and there is no secured-lender-sale exception if the bank enforces."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,hedging scope split,"Para 8 bans risk-limiting transactions on unvested or locked plan securities for all Specified Persons; para 9 extends the ban to any vested Group Securities only for CBA Board directors, Group Company Secretaries, Group Executives and their Associates.","The hedge leg is available only to Specified Persons outside the para 9 group (e.g. Executive General Managers, Subsidiary Board directors) and only over vested shares free of any holding lock."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,conditional orders,"Trading involving conditional or limit orders (e.g. a specified, minimum sell or maximum purchase price or a stop-loss instruction) must be placed and executed during a Trading Window.","A collar whose put or call is exercised or physically settled at maturity, or any price-triggered unwind, may execute outside a Trading Window and breach the policy unless cash-settled or timed to a window."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,director off-market transfers,Off-market transfers with no change in beneficial ownership are exempt from Trading Windows other than those by the CBA Board directors and their Associates.,A director transferring collared shares to a bank custodian or security account is making a Trade that must occur in a Trading Window with Pre-Clearance.
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,exception mechanics,"A Trading Window exception must be requested in writing with evidence that the proposed Trade is the most reasonable course of action and there are no other viable legal alternatives; it remains in force for seven calendar days unless revoked earlier, Pre-Clearance if required must be obtained within that period, Group Control Room must be notified, and confirmation of whether the Trade was placed must go to the approver and Group Control Room by the next business day.","The hardship relief is drafted around a sale and does not extend to entering a hedge, so a collar cannot be executed in a closed period under it."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,MAR overlay,"CBA Board directors, Group Company Secretaries, Group Executives and Associates must not Trade any other Security that has a price or value which depends on, or has an effect on, the price or value of a Group Security that is listed or traded on a UK or EU regulated market.","If the collar's reference security or any Group Security it prices off is listed on a UK or EU market, the derivative is barred outright for this group regardless of Trading Windows."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,insider trading override,"The prohibition on Insider Trading applies at all times and overrides any Pre-Clearance, exception or other provision of this Policy. Pre-Clearance or an exception being granted is not an endorsement of any Trade.",Pre-Clearance does not protect the executive or the bank if the executive holds Inside Information when the collar is struck.
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,ETF lookthrough,"If Group Securities make up 20% or more of an exchange traded fund (ETF) at the time of placing a Trade, the ETF is considered to be a Group Security for the purposes of this Policy.",A hedge referenced to a CBA-heavy ETF is treated as a hedge of Group Securities.
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,designation fluidity,The Specified Person list is not exhaustive and other individuals may be considered Specified Persons; designation is recorded on the Conflicts Hub and may change from time to time.,"The bank should confirm the counterparty's current designation and whether they fall in the para 9 group before structuring, since the answer differs between tiers."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,pre-clearance scope,"If Pre-Clearance requirements apply to you, you should refer to the Procedure for further information including how to seek Pre-Clearance and for which types of Trading it is required.","Whether an OTC derivative specifically requires Pre-Clearance is settled by the unpublished Procedure, not this policy."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,forced sale,A sale of your Origin Securities by a third party outside your control (such as a margin lender) in a Closed Period or when you are otherwise prohibited by this Policy is a serious breach of this Policy and may result in dismissal.,"Even if a secured facility existed, the bank's enforcement or physical settlement of the collar during a Closed Period would put the executive in serious breach, so the structure cannot rely on lender enforcement rights."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,secured financing scope,"From the date of this Policy, you must not ... enter into any other secured financing arrangements in respect of Origin Securities.","The loan leg of a funded collar, secured on the collared shares, is expressly prohibited for all personnel and Associates regardless of vesting state, with no approval route; the wording is prospective only and is silent on unwinding pre-existing arrangements."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,no closed-period relief,Dealing in Origin Securities during a Closed Period or Additional Prohibitions will not be permitted.,"No hardship or exceptional-circumstances exemption exists, so collar entry, unwind, roll or settlement must fall entirely within open windows."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,clearance lapse,"If you come to possess Inside Information after receiving clearance to Deal, you must not complete the trade.",A cleared collar must be priced and executed within the 2-business-day validity and can become unexecutable if inside information arises before signing.
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,confidential prohibitions,"If you hold Origin Securities, you must recognise that a prohibition may apply at the time you wish to sell them, and Origin will have no responsibility to you.","Undisclosed Additional Prohibitions can block delivery or unwind of shares under the collar at any time, and the executive bears that risk."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,speculative perception,You must not ... enter into arrangements which result in short-term Dealing (such as margin loans) to minimise the perception of speculative trading.,"A short-dated collar or one with early-termination triggers may be characterised as an arrangement resulting in short-term Dealing, so tenor should exceed three months."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,associates,"This Policy also extends to Associates of Origin Personnel. ... a company, partnership or trust over which: (i) you have control or significant influence",Routing the collar or loan through a family trust or controlled company does not escape the secured financing ban or clearance requirement.
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,OTC derivatives are dealings,Securities: ... any financial product; derivatives ... Dealing: ... create a derivative over Securities,"There is no venue limitation, so an OTC put and call with a bank is squarely a Dealing subject to clearance and windows."
