symbol,company,market_cap,industry,lodged,tier,type,approver,form,validity_days,response_sla_days,revocable,conditions_allowed,refusal_confidential,covers_derivatives,post_trade_to,post_trade_deadline,section,evidence
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,PDMRs,approval,Group Company Secretary or their delegate (Clearance Officer),written,2,2,yes,not_addressed,yes,implied,Group Company Secretary (transaction details); BHP then notifies the UK FCA and announces to exchanges,immediately after dealing; FCA within three business days; exchange announcement within two business days of BHP being notified,5; 8,"Clearance Officers will provide a response in writing within two business days after the initial clearance request. ... Upon receipt of written approval, the dealing must be completed within two business days. ... After dealing in BHP securities, PDMRs (including their PCAs) must immediately notify the Group Company Secretary of the transaction details."
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,PCAs,approval,Group Company Secretary or their delegate (Clearance Officer); form may be submitted by the PDMR on the PCA's behalf,written,2,2,yes,not_addressed,yes,implied,Group Company Secretary; FCA and exchanges via BHP,immediately; FCA within three business days,4 (PCAs); 5,must request clearance before dealing in BHP securities from the Group Company Secretary by submitting a Securities Dealing Clearance Request Form (which may be submitted by the PDMR on behalf of the PCA)
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Restricted Persons,approval,Group Company Secretary or their delegate (Clearance Officer),written,2,2,yes,not_addressed,yes,implied,,,4 (Restricted Persons); 5; 8,Restricted Persons: must request clearance before dealing in BHP securities from the Group Company Secretary in BHP securities by submitting a Securities Dealing Clearance Request Form
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Persons on insider lists,approval,Group Company Secretary or their delegate (Clearance Officer),written,2,2,yes,not_addressed,yes,implied,,,4 (People on insider lists); 5,must request clearance from the Group Company Secretary before dealing in BHP securities by submitting a Securities Dealing Clearance Request Form
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Participants in BHP's employee incentive plans,none,,unspecified,,,not_addressed,not_addressed,not_addressed,not_addressed,,,4,BHP employees who are participants in any of BHP's employee incentive plans ... must not deal in any BHP securities during any Closed Period.
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,"BHP directors, employees and contractors",none,,unspecified,,,not_addressed,not_addressed,not_addressed,not_addressed,,,3,"If a BHP director, employee or contractor is unsure, they should consult Group Governance."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,"CBA Board directors, Group Company Secretaries, Group Executives",approval,CBA Board Chair for CBA Board directors (other than the Chair) and the CEO; CBA Board Audit Committee Chair for the Board Chair; CEO for Group Executives; for Group Company Secretaries the Pre-Clearance approver is not stated (Attachment A),system,3,,yes,yes,yes,implied,,,"Policy requirements paras 2, 4-6; Definitions (Pre-Clearance); Attachment A","Pre-Clearance requirements apply to the CBA Group Board, Group CEO and Group Executives and certain other individuals as outlined in the Procedure and on the Conflicts Hub."
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,Specified Persons,approval,As designated in the Procedure and on the Conflicts Hub; the policy does not name the approver for Specified Persons outside the Board/CEO/Group Executive group,system,3,,yes,yes,yes,implied,,,"Policy requirements paras 4-6, 16(b); Definitions (Pre-Clearance)",Before Trading in any Securities you must confirm whether you require Pre-Clearance by checking the Conflicts Hub and/or the Procedure.
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,all employees,not_addressed,"Per the Procedure and Conflicts Hub; certain individuals require Pre-Clearance for any Trading, not just Group Securities",unspecified,3,,yes,yes,yes,implied,,,Policy requirements paras 3-5,"There are some positions in the Group that may cause individuals to be at greater risk of inappropriate Trading in relation to other entities outside the Group, accordingly certain individuals require Pre-Clearance for any Trading, not just Trading in Group Securities."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Directors,approval,Chairman and the Company Secretary,written,2,,not_addressed,yes,yes,implied,Company Secretary (confirmation of price and quantity),unspecified ('Following a Dealing'),4,"Any transaction should be completed within 2 business days of receiving clearance and must be consistent with the terms of that clearance. Following a Dealing of Securities by a Director, confirmation of price and quantity must be provided to the Company Secretary"
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,ELT & ELT Direct Reports,approval,Manager and the Company Secretary,written,2,,not_addressed,yes,yes,implied,,,4,you must comply with the prior written clearance requirement set out below before you can Deal.
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,All other employees,approval,Manager,written,2,,not_addressed,yes,yes,implied,,,4,you must comply with the prior written clearance requirement set out below before you can Deal.
