symbol,company,market_cap,industry,lodged,tier,tier_kind,collar,funded_collar,blockers
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,"BHP directors, employees and contractors",all_staff,available,blocked,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Persons on insider lists,restricted,clearance_required,blocked,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Participants in BHP's employee incentive plans,plan_participant,available,blocked,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Restricted Persons,restricted,clearance_required,blocked,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,PDMRs,director,clearance_required,blocked,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,PCAs,associate,clearance_required,blocked,
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,all employees,all_staff,available,blocked,
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,Specified Persons,restricted,clearance_required,blocked,
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,"CBA Board directors, Group Company Secretaries, Group Executives",kmp,blocked,blocked,"hedging: the CBA Board directors, Group Company Secretaries, Group Executives, and each of their Associates, must not enter into  | derivatives: must not enter into a transaction that limits the economic risk of their exposure to any vested Group Securities."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Origin Personnel,all_staff,clearance_required,blocked,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Directors,director,clearance_required,blocked,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,ELT & ELT Direct Reports,kmp,clearance_required,blocked,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,All other employees,all_staff,clearance_required,blocked,
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Associates,associate,clearance_required,blocked,
