symbol,name,market_cap,industry,status,source,policy_date,headline,document_key,pdf,text_chars
BHP,BHP GROUP LIMITED,339826752284,Materials,ok,asx,2024-10-01,Securities Dealing Policy,2924-02860734-3A652076,/Users/gazmart/code/asx-trading-policies/data/pdf/BHP.pdf,17747
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,ok,asx,2024-09-30,Group Personal Trading Policy,2924-02860595-2A1552366,/Users/gazmart/code/asx-trading-policies/data/pdf/CBA.pdf,24857
NEM,NEWMONT CORPORATION,184989688406,Materials,no_policy_found,,,,,,0
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,ok,asx,2021-11-05,Revised Securities Trading Policy,2924-02448354-3A580399,/Users/gazmart/code/asx-trading-policies/data/pdf/NAB.pdf,30385
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,ok,asx,2021-02-05,Revised Westpac Group Securities Trading Policy,2924-02338437-2A1278906,/Users/gazmart/code/asx-trading-policies/data/pdf/WBC.pdf,20447
ANZ,ANZ GROUP HOLDINGS LIMITED,112614448954,Banks,ok,asx,2026-08-05,Trading in ANZ Securities Policy,2924-03118150-3A698246,/Users/gazmart/code/asx-trading-policies/data/pdf/ANZ.pdf,27715
MQG,MACQUARIE GROUP LIMITED,94975532859,Financial Services,ok,asx,2024-01-02,Updated Trading Policy,2924-02759418-2A1497525,/Users/gazmart/code/asx-trading-policies/data/pdf/MQG.pdf,15186
WES,WESFARMERS LIMITED,87507592674,Consumer Discretionary Distribution & Retail,ok,asx,2021-04-07,Revised Securities Trading Policy,2924-02361314-6A1027574,/Users/gazmart/code/asx-trading-policies/data/pdf/WES.pdf,27798
CSL,CSL LIMITED,82521323101,"Pharmaceuticals, Biotechnology & Life Sciences",ok,asx,2023-12-15,Securities Dealing Policy,2924-02754579-3A633353,/Users/gazmart/code/asx-trading-policies/data/pdf/CSL.pdf,14403
RIO,RIO TINTO LIMITED,66001984052,Materials,ok,asx,2020-12-23,Rio Tinto Securities Dealing Policy,2924-02326281-3A558834,/Users/gazmart/code/asx-trading-policies/data/pdf/RIO.pdf,23738
WDS,WOODSIDE ENERGY GROUP LTD,62165974676,Energy,ok,asx,2024-12-11,Revised Securities Dealing Policy,2924-02893477-6A1243049,/Users/gazmart/code/asx-trading-policies/data/pdf/WDS.pdf,32680
GMG,GOODMAN GROUP,56444108368,Equity Real Estate Investment Trusts (REITs),ok,asx,2021-06-15,Goodman Group Securities Trading Policy Update,2924-02384769-2A1303599,/Users/gazmart/code/asx-trading-policies/data/pdf/GMG.pdf,12727
FMG,FORTESCUE LTD,53604779222,Materials,ok,asx,2015-08-20,Revised Securities Trading Policy,2995-01652709-6A730708,/Users/gazmart/code/asx-trading-policies/data/pdf/FMG.pdf,22686
TLS,TELSTRA GROUP LIMITED,51574200824,Telecommunication Services,ok,asx,2025-09-24,Securities Trading Policy Update,2924-02997731-3A677082,/Users/gazmart/code/asx-trading-policies/data/pdf/TLS.pdf,1243
WOW,WOOLWORTHS GROUP LIMITED,48045496221,Consumer Staples Distribution & Retail,ok,asx,2021-08-20,Revised Securities Trading Policy,2924-02409558-2A1316908,/Users/gazmart/code/asx-trading-policies/data/pdf/WOW.pdf,20220
RMD,RESMED INC,47875131567,Health Care Equipment & Services,ok,asx,2010-12-23,Trading Policy,2995-01136595-2A618919,/Users/gazmart/code/asx-trading-policies/data/pdf/RMD.pdf,528
TCL,TRANSURBAN GROUP,43557765415,Transportation,ok,asx,2021-06-29,Revised Dealing in Securities Policy,2924-02389263-3A569643,/Users/gazmart/code/asx-trading-policies/data/pdf/TCL.pdf,24588
ALL,ARISTOCRAT LEISURE LIMITED,36126622825,Consumer Services,ok,asx,2023-07-31,Revised Share Trading Policy,2924-02692817-2A1463875,/Users/gazmart/code/asx-trading-policies/data/pdf/ALL.pdf,16908
NST,NORTHERN STAR RESOURCES LTD,33753631919,Materials,ok,asx,2017-11-01,Securities Trading Policy,2995-01916969-6A858907,/Users/gazmart/code/asx-trading-policies/data/pdf/NST.pdf,28310
QBE,QBE INSURANCE GROUP LIMITED,33585670041,Insurance,ok,asx,2026-08-17,QBE Securities Trading Policy update,2924-03121827-2A1689875,/Users/gazmart/code/asx-trading-policies/data/pdf/QBE.pdf,31620
COL,COLES GROUP LIMITED.,31805637156,Consumer Staples Distribution & Retail,ok,asx,2023-06-19,Revised Securities Dealing Policy,2924-02677372-3A620217,/Users/gazmart/code/asx-trading-policies/data/pdf/COL.pdf,23500
SIG,SIGMA HEALTHCARE LIMITED,31283434686,Health Care Equipment & Services,ok,asx,2020-12-10,Updated Share Trading Policy,2924-02320847-3A557766,/Users/gazmart/code/asx-trading-policies/data/pdf/SIG.pdf,38855
EVN,EVOLUTION MINING LIMITED,30502549053,Materials,ok,asx,2015-04-07,Amended Securities Trading Policy,2995-01614317-2A851716,/Users/gazmart/code/asx-trading-policies/data/pdf/EVN.pdf,834
AMC,AMCOR PLC,29923013057,Materials,ok,asx,2015-04-28,Revised Share Trading Policy,2995-01619450-3A422444,/Users/gazmart/code/asx-trading-policies/data/pdf/AMC.pdf,20483
STO,SANTOS LIMITED,26891560117,Energy,ok,asx,2020-08-03,Revised Securities Dealing Policy,2924-02262541-2A1240224,/Users/gazmart/code/asx-trading-policies/data/pdf/STO.pdf,17055
NWS,NEWS CORPORATION..,25941422787,Media & Entertainment,ok,asx,2026-08-09,FY2026 Appendix 4E Form 10-K,2924-03119240-2A1688602,/Users/gazmart/code/asx-trading-policies/data/pdf/NWS.pdf,527381
NWSLV,NEWS CORPORATION..,25941422787,Media & Entertainment,ok,asx,2026-08-09,FY2026 Appendix 4E Form 10-K,2924-03119240-2A1688602,/Users/gazmart/code/asx-trading-policies/data/pdf/NWSLV.pdf,527381
BXB,BRAMBLES LIMITED,25914862138,Commercial & Professional Services,ok,asx,2017-07-03,Brambles Limited Securities Trading Policy,2995-01870798-2A1022078,/Users/gazmart/code/asx-trading-policies/data/pdf/BXB.pdf,25734
JHX,JAMES HARDIE INDUSTRIES PLC,24065489830,Materials,ok,asx,2011-05-16,Insider Trading Policy,2995-01181232-2A634730,/Users/gazmart/code/asx-trading-policies/data/pdf/JHX.pdf,21804
S32,SOUTH32 LIMITED,23509185267,Materials,ok,asx,2022-12-05,Securities Dealing Policy,2924-02608526-6A1126771,/Users/gazmart/code/asx-trading-policies/data/pdf/S32.pdf,17865
CPU,COMPUTERSHARE LIMITED.,22973534420,Commercial & Professional Services,ok,asx,2015-06-16,Share Trading Policy,2995-01633770-3A424938,/Users/gazmart/code/asx-trading-policies/data/pdf/CPU.pdf,31353
REA,REA GROUP LTD,22217378881,Media & Entertainment,ok,asx,2026-05-08,Revised Securities Dealing Policy,2924-03088202-3A692979,/Users/gazmart/code/asx-trading-policies/data/pdf/REA.pdf,23090
