symbol,company,market_cap,industry,lodged,tier,tier_kind,collar,funded_collar,blockers
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,"BHP directors, employees and contractors",all_staff,available,workable,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Persons on insider lists,restricted,clearance_required,workable,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Participants in BHP's employee incentive plans,plan_participant,available,workable,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,Restricted Persons,restricted,clearance_required,workable,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,PDMRs,director,clearance_required,workable,
BHP,BHP GROUP LIMITED,339826752284,Materials,2024-10-01,PCAs,associate,clearance_required,workable,
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,all employees,all_staff,available,blocked_loan,
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,Specified Persons,restricted,clearance_required,blocked_loan,
CBA,COMMONWEALTH BANK OF AUSTRALIA.,266331534276,Banks,2024-09-30,"CBA Board directors, Group Company Secretaries, Group Executives",kmp,blocked,blocked_loan,"hedging: the CBA Board directors, Group Company Secretaries, Group Executives, and each of their Associates, must not enter into  | derivatives: must not enter into a transaction that limits the economic risk of their exposure to any vested Group Securities."
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,2021-11-05,NAB People,all_staff,available,workable,
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,2021-11-05,Designated NAB Employees,restricted,clearance_required,workable,
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,2021-11-05,Directors,director,clearance_required,workable,
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,2021-11-05,Executive Leadership Team,kmp,clearance_required,workable,
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,2021-11-05,Key Management Personnel,kmp,clearance_required,workable,
NAB,NATIONAL AUSTRALIA BANK LIMITED,120018938963,Banks,2021-11-05,Immediate Family Members and controlled entities,associate,clearance_required,workable,
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,2021-02-05,Employees,all_staff,available,enforcement_restricted,
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,2021-02-05,Prescribed Employees,restricted,notification_required,enforcement_restricted,
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,2021-02-05,Key Prescribed Employees,restricted,clearance_required,enforcement_restricted,
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,2021-02-05,Group Executives,kmp,clearance_required,enforcement_restricted,
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,2021-02-05,Westpac Directors,director,clearance_required,enforcement_restricted,
WBC,WESTPAC BANKING CORPORATION,117521621560,Banks,2021-02-05,associates,associate,clearance_required,enforcement_restricted,
ANZ,ANZ GROUP HOLDINGS LIMITED,112614448954,Banks,2026-08-05,"Employees, contingent workers and ANZ Directors",all_staff,available,blocked_loan,
ANZ,ANZ GROUP HOLDINGS LIMITED,112614448954,Banks,2026-08-05,ANZ Restricted Persons,restricted,clearance_required,blocked_loan,
