symbol,check,detail
PLS,company_mismatch,manifest=PLS GROUP LIMITED | parsed=Pilbara Minerals Limited
SOL,evidence_unfound,5/13 quotes not in text
SGH,company_mismatch,manifest=SGH LIMITED | parsed=Seven Group Holdings Limited
IGO,company_mismatch,manifest=IGO LIMITED | parsed=Independence Group NL
NWL,evidence_unfound,6/12 quotes not in text
GQG,evidence_unfound,5/10 quotes not in text
MFF,evidence_unfound,4/11 quotes not in text
RSG,evidence_unfound,7/18 quotes not in text
MSB,tier_unknown,Directors
OBM,evidence_unfound,9/22 quotes not in text
ILU,tier_unknown,Restricted Employees
SRL,tier_unknown,Employee or Designated Officer who is not a director
GYG,evidence_unfound,14/26 quotes not in text
EVT,company_mismatch,manifest=EVT LIMITED | parsed=EVENT Hospitality & Entertainment Limited
EQR,tier_unknown,Chair
PRN,tier_unknown,Directors (including the Managing Director and CEO but excluding the Perenti Chair) | Members of the Group Executive Com
LLC,company_mismatch,manifest=LENDLEASE GROUP | parsed=Lend Lease Corporation Limited
DMP,evidence_unfound,5/14 quotes not in text
RDX,tier_unknown,Chair of the Board
GLF,company_mismatch,manifest=GEMLIFE COMMUNITIES GROUP | parsed=Equity Trustees Limited (Responsible Entity)
GNP,evidence_unfound,10/24 quotes not in text
WPR,evidence_unfound,7/16 quotes not in text
SLX,tier_unknown,Directors and Senior Executives
INA,tier_unknown,Directors and Executives
MAQ,tier_unknown,Chairman
WEB,company_mismatch,manifest=WEBBEDS GROUP LIMITED | parsed=Webjet Limited
HLI,tier_unknown,All other Prescribed Persons | Chair and their Associates | Chief Executive Officer and their Associates | Company Secre
MAF,company_mismatch,manifest=MA FINANCIAL GROUP LIMITED | parsed=Moelis Australia Limited
IPX,evidence_unfound,6/16 quotes not in text
PNR,company_mismatch,manifest=PANTORO GOLD LIMITED | parsed=Pacific Niugini Limited
CAT,tier_unknown,CEO Direct Report | Chairman | Company Secretary | Director (excluding the Chairman) or the CEO | Each other Catapult Te
CKF,tier_unknown,Chairman | Company Secretary | Directors (other than the Chairman) | Directors and Restricted Employees | Restricted Emp
RIC,tier_unknown,Chair | Directors (other than the Chair)
EIQ,tier_unknown,Chair of the Board | Other Restricted Persons
SBM,tier_unknown,All other Designated Employees
PMT,company_mismatch,manifest=PMET RESOURCES INC. | parsed=Patriot Battery Metals Inc.
SKS,company_mismatch,manifest=SKS TECHNOLOGIES GROUP LIMITED | parsed=Energy Developments Limited
QAL,tier_unknown,Chair of the Board | Director of Compliance
MYS,evidence_unfound,4/11 quotes not in text
SYL,tier_unknown,Company Chair | Company Secretary | Directors | Restricted Persons (other than Directors)
TPW,evidence_unfound,4/10 quotes not in text
OPH,evidence_unfound,5/12 quotes not in text
MA1,company_mismatch,manifest=MA CREDIT INCOME TRUST | parsed=Listed Investment Trust for which Equity Trustees Limited is
BAP,company_mismatch,manifest=BAPCOR LIMITED | parsed=Burson Group Limited
MGX,company_mismatch,manifest=MGX RESOURCES LIMITED | parsed=Mount Gibson Iron Limited
STX,tier_unknown,Employees or Associated persons
HCW,tier_unknown,Directors and Senior Executives
KGL,company_mismatch,manifest=KGL RESOURCES LIMITED | parsed=Kentor Gold Limited
ACF,evidence_unfound,5/12 quotes not in text
RMC,company_mismatch,manifest=RESIMAC GROUP LTD | parsed=RIMCapital Limited
MYR,evidence_unfound,5/13 quotes not in text
MTM,company_mismatch,manifest=METALLIUM LIMITED | parsed=Mt Monger Resources Limited
