symbol,company,market_cap,policy_date,tier_kind,tier_name,associates,question,answer,mechanism,clause,definition,section,reasoning
BHP,BHP Group Limited,339826752284,2024-10-01,general,"All BHP directors, employees and contractors",covered,cash_hedge,not_mentioned_implicitly_permitted,none,"This policy applies to all BHP directors, employees and contractors.",,2,"Only PDMRs, Restricted Persons and those on insider lists face a clearance regime, and the only hedging-specific rule binds incentive-plan participants solely for unvested or still-locked securities, so a cash-settled hedge over fully vested shares is unaddressed for ordinary directors, employees and contractors."
BHP,BHP Group Limited,339826752284,2024-10-01,general,"All BHP directors, employees and contractors",covered,physical_hedge,not_mentioned_implicitly_permitted,none,"This policy applies to all BHP directors, employees and contractors.",,2,"The same absence of any clearance or hedging rule applies whatever the settlement method; the incentive-plan hedging restriction reaches only unvested or locked securities, leaving a physically settled hedge over fully vested shares unaddressed for the general population."
BHP,BHP Group Limited,339826752284,2024-10-01,general,"All BHP directors, employees and contractors",covered,encumber,not_mentioned_implicitly_permitted,none,"This policy applies to all BHP directors, employees and contractors.",,2,"No clearance regime or encumbrance rule reaches directors, employees or contractors outside the insider-list, Restricted Person and PDMR categories, so pledging vested shares is unaddressed for the general population."
BHP,BHP Group Limited,339826752284,2024-10-01,general,"All BHP directors, employees and contractors",covered,borrow_against_stock,not_mentioned_implicitly_permitted,none,"This policy applies to all BHP directors, employees and contractors.",,2,"Margin lending is only caught via the dealing definition where a clearance regime binds the tier; ordinary directors, employees and contractors are not subject to any clearance regime, so a margin loan secured on vested shares is unaddressed for them."
BHP,BHP Group Limited,339826752284,2024-10-01,general,"All BHP directors, employees and contractors",covered,borrow_against_derivative,not_mentioned_implicitly_permitted,none,"This policy applies to all BHP directors, employees and contractors.",,2,"No provision addresses financing secured on a derivative rather than the shares themselves, and ordinary directors, employees and contractors have no clearance regime in any event, so this is unaddressed."
BHP,BHP Group Limited,339826752284,2024-10-01,general,"All BHP directors, employees and contractors",covered,stock_loan,not_mentioned_implicitly_permitted,none,"This policy applies to all BHP directors, employees and contractors.",,2,"Stock lending agreements form part of the dealing definition, but that only matters where a clearance regime binds the tier; ordinary directors, employees and contractors face no such regime, so lending vested shares is unaddressed for them."
BHP,BHP Group Limited,339826752284,2024-10-01,general,"All BHP directors, employees and contractors",covered,lender_enforcement,not_mentioned_implicitly_permitted,none,"This policy applies to all BHP directors, employees and contractors.",,2,"The exceptional-circumstances clearance route and the general clearance regime apply only to persons on insider lists, Restricted Persons and PDMRs; ordinary directors, employees and contractors have no clearance regime, so a lender's enforcement sale is unaddressed for them."
BHP,BHP Group Limited,339826752284,2024-10-01,senior,Persons discharging managerial responsibilities (PDMRs),covered,cash_hedge,permitted_with_pre_approval,via_definition,must request clearance before dealing in BHP securities from the Group Company Secretary by submitting a Securities Dealing Clearance Request Form.,entry into a contract to secure a profit or avoid a loss by reference to price fluctuations,4,"PDMRs must obtain clearance before any dealing, and the dealing definition sweeps in a contract to secure a profit or avoid a loss by price fluctuations, which covers a cash-settled hedge; the separate ban on derivative dealing is confined to transactions on an exchange or other organised market, so an OTC bank collar or put falls to the general clearance requirement rather than an outright ban."
BHP,BHP Group Limited,339826752284,2024-10-01,senior,Persons discharging managerial responsibilities (PDMRs),covered,physical_hedge,permitted_with_pre_approval,via_definition,must request clearance before dealing in BHP securities from the Group Company Secretary by submitting a Securities Dealing Clearance Request Form.,"the grant, acceptance, acquisition, disposal, exercise or discharge of any option",4,"A physically settled collar or put is exercised as an option and ends in a disposal of shares, both squarely within the dealing definition, so a PDMR needs clearance before entering it; the exchange/organised-market derivative ban does not reach an OTC bank product."
BHP,BHP Group Limited,339826752284,2024-10-01,senior,Persons discharging managerial responsibilities (PDMRs),covered,encumber,permitted_with_pre_approval,via_definition,must request clearance before dealing in BHP securities from the Group Company Secretary by submitting a Securities Dealing Clearance Request Form.,"use as security, or otherwise granting a charge, lien or other encumbrance over securities",4,"Granting a charge, lien or other encumbrance over securities is expressly part of the dealing definition, so a PDMR must obtain clearance before pledging vested shares; the unvested-collateral ban in the additional PDMR restrictions does not reach vested shares."
